"";"Block";"FlowerFieldType";"Transect";"Species";"LifeStrategy";"Ecotype";"Phagy_Nickel";"FoodPlant_Nickel";"RedList";"tot.Count"
"157";2;"1yr-GM";"control grass path";"M.crocea";"oligotop";"(MesS)";"o1";"Calamagrostis, Brachypodium, Molinia";"*";1
"158";2;"1yr-GM";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";8
"159";2;"1yr-GM";"control grass path";"R.quinquecostatus";"changing";"XerS";"p";"Salix?";"D";1
"160";2;"1yr-GM";"control grass path";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";4
"161";2;"1yr-GM";"field edge";"E.atropunctata";"";"MesS";"p";"herbs";"*";2
"162";2;"1yr-GM";"field edge";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";2
"163";2;"1yr-GM";"field edge";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";1
"164";2;"1yr-GM";"field edge";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";1
"165";2;"1yr-GM";"field edge";"N.campestris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"166";2;"1yr-GM";"field edge";"P.alienus";"";"UES";"o1";"Poaceae";"*";3
"167";2;"1yr-GM";"field edge";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";3
"168";2;"1yr-GM";"field edge";"R.quinquecostatus";"changing";"XerS";"p";"Salix?";"D";1
"169";2;"1yr-GM";"field edge";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";3
"170";2;"1yr-GM";"field centre";"Aphrodes.sp";"";"";"";"";"";1
"171";2;"1yr-GM";"field centre";"E.atropunctata";"";"MesS";"p";"herbs";"*";8
"172";2;"1yr-GM";"field centre";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";1
"173";2;"1yr-GM";"field centre";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";1
"174";2;"1yr-GM";"field centre";"Empoasca.sp";"";"";"";"";"";4
"175";2;"1yr-GM";"field centre";"M.crocea";"oligotop";"(MesS)";"o1";"Calamagrostis, Brachypodium, Molinia";"*";1
"176";2;"1yr-GM";"field centre";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";2
"177";2;"1yr-GM";"field centre";"M.sardus";"";"MesS";"o2?";"?";"*";3
"178";2;"1yr-GM";"field centre";"P.alienus";"";"UES";"o1";"Poaceae";"*";3
"179";2;"1yr-GM";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";1
"180";2;"1yr-GM";"field centre";"R.quinquecostatus";"changing";"XerS";"p";"Salix?";"D";7
"181";2;"2yr-GM";"control grass path";"D.hamata";"eurytop";"MesO";"o1";"Poaceae";"*";5
"182";2;"2yr-GM";"control grass path";"Doratura.sp";"";"";"";"";"";1
"183";2;"2yr-GM";"control grass path";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";1
"184";2;"2yr-GM";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";18
"185";2;"2yr-GM";"control grass path";"H.elegantula";"oligotop";"MesS";"o1";"Poaceae";"*";1
"186";2;"2yr-GM";"control grass path";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";2
"187";2;"2yr-GM";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";2
"188";2;"2yr-GM";"control grass path";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";7
"189";2;"2yr-GM";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";5
"190";2;"2yr-GM";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";11
"191";2;"2yr-GM";"control grass path";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";2
"192";2;"2yr-GM";"control grass path";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";2
"193";2;"2yr-GM";"field edge";"E.notata";"oligotop";"MesO";"o2";"Hieracium pilosella, Leontodon?, Prunella?";"*";1
"194";2;"2yr-GM";"field edge";"E.pteridis";"";"UES";"p";"herbs";"*";2
"195";2;"2yr-GM";"field edge";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";4
"196";2;"2yr-GM";"field edge";"M.sardus";"";"MesS";"o2?";"?";"*";1
"197";2;"2yr-GM";"field edge";"P.alienus";"";"UES";"o1";"Poaceae";"*";5
"198";2;"2yr-GM";"field edge";"P.confinis";"eurytop";"MesO";"o1";"Poaceae";"*";1
"199";2;"2yr-GM";"field edge";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";9
"200";2;"2yr-GM";"field centre";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";1
"201";2;"2yr-GM";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";4
"202";2;"2yr-GM";"field centre";"R.quinquecostatus";"changing";"XerS";"p";"Salix?";"D";1
"203";2;"3yr+";"control grass path";"A.ribauti";"oligotop";"MesO";"o2?";"Plantago, Fabaceae?, Lamiaceae?";"*";1
"204";2;"3yr+";"control grass path";"D.pulicaris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"205";2;"3yr+";"control grass path";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";1
"206";2;"3yr+";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";2
"207";2;"3yr+";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";2
"208";2;"3yr+";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";18
"209";2;"3yr+";"control grass path";"Psammotettix.sp";"";"";"";"";"";1
"210";2;"3yr+";"control grass path";"Ribautodelphax.sp";"stenotop";"";"m1";"";"";1
"211";2;"3yr+";"control grass path";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";4
"212";2;"3yr+";"field edge";"C.paolii";"oligotop";"XerO";"o1";"Achillea millefolium, Artemisia campestris";"*";1
"213";2;"3yr+";"field edge";"E.atropunctata";"";"MesS";"p";"herbs";"*";1
"214";2;"3yr+";"field edge";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";3
"215";2;"3yr+";"field edge";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";8
"216";2;"3yr+";"field edge";"Emelyanoviana.sp";"";"";"";"";"";1
"217";2;"3yr+";"field edge";"H.elegantula";"oligotop";"MesS";"o1";"Poaceae";"*";2
"218";2;"3yr+";"field edge";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";2
"219";2;"3yr+";"field edge";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";1
"220";2;"3yr+";"field edge";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";3
"221";2;"3yr+";"field edge";"P.alienus";"";"UES";"o1";"Poaceae";"*";3
"222";2;"3yr+";"field edge";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";15
"223";2;"3yr+";"field edge";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";2
"224";2;"3yr+";"field edge";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";5
"225";2;"3yr+";"field centre";"C.paolii";"oligotop";"XerO";"o1";"Achillea millefolium, Artemisia campestris";"*";1
"226";2;"3yr+";"field centre";"C.viridis";"oligotop";"MesO";"p";"Juncus, Carex";"*";1
"227";2;"3yr+";"field centre";"D.europaea";"oligotop";"XerO";"p";"?";"3";1
"228";2;"3yr+";"field centre";"E.atropunctata";"";"MesS";"p";"herbs";"*";1
"229";2;"3yr+";"field centre";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";24
"230";2;"3yr+";"field centre";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";1
"231";2;"3yr+";"field centre";"Emelyanoviana.sp";"";"";"";"";"";1
"232";2;"3yr+";"field centre";"Empoasca.sp";"";"";"";"";"";1
"233";2;"3yr+";"field centre";"M.sordidula";"stenotop";"MesO";"m1";"Arrhenatherum elatius";"V";1
"234";2;"3yr+";"field centre";"P.alienus";"";"UES";"o1";"Poaceae";"*";1
"235";2;"3yr+";"field centre";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";2
"236";2;"3yr+";"field centre";"Psammotettix.sp";"";"";"";"";"";3
"237";2;"3yr+";"field centre";"R.imitans";"stenotop";"MesO";"m1";"Festuca arundinacea";"*";1
"238";2;"3yr+";"field centre";"Z.scutellaris";"pioneer";"MesO";"o1";"Poaceae";"*";2
"239";3;"1yr-FAKT";"control grass path";"A.pascuellus";"eurytop";"MesO";"o1";"Poaceae";"*";1
"240";3;"1yr-FAKT";"control grass path";"A.ribauti";"oligotop";"MesO";"o2?";"Plantago, Fabaceae?, Lamiaceae?";"*";1
"241";3;"1yr-FAKT";"control grass path";"C.persimilis";"";"MesO";"m1";"Dactylis glomerata";"*";2
"242";3;"1yr-FAKT";"control grass path";"D.hamata";"eurytop";"MesO";"o1";"Poaceae";"*";1
"243";3;"1yr-FAKT";"control grass path";"D.pulicaris";"oligotop";"MesO";"o1";"Poaceae";"*";1
"244";3;"1yr-FAKT";"control grass path";"E.incisus";"eurytop";"MesO";"o2";"Poaceae, Fabaceae";"*";1
"245";3;"1yr-FAKT";"control grass path";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";2
"246";3;"1yr-FAKT";"control grass path";"Emelyanoviana.sp";"";"";"";"";"";1
"247";3;"1yr-FAKT";"control grass path";"J.pellucida";"pioneer";"UES";"p";"Poaceae, Cyperaceae?";"*";1
"248";3;"1yr-FAKT";"control grass path";"L.striatella";"pioneer";"UES";"p?";"Poaceae";"*";8
"249";3;"1yr-FAKT";"control grass path";"M.laevis";"pioneer";"UES";"p";"Poaceae";"*";10
"250";3;"1yr-FAKT";"control grass path";"M.sordidula";"stenotop";"MesO";"m1";"Arrhenatherum elatius";"V";1
"251";3;"1yr-FAKT";"control grass path";"N.campestris";"oligotop";"MesO";"o1";"Poaceae";"*";2
"252";3;"1yr-FAKT";"control grass path";"P.alienus";"";"UES";"o1";"Poaceae";"*";8
"253";3;"1yr-FAKT";"control grass path";"P.confinis";"eurytop";"MesO";"o1";"Poaceae";"*";1
"254";3;"1yr-FAKT";"control grass path";"P.helvolus";"";"MesO";"o1";"Poaceae";"*";6
"255";3;"1yr-FAKT";"control grass path";"P.spumarius";"eurytop";"MesO";"p";"dicotyle herbs";"*";1
"256";3;"1yr-FAKT";"control grass path";"R.imitans";"stenotop";"MesO";"m1";"Festuca arundinacea";"*";2
"257";3;"1yr-FAKT";"field edge";"E.atropunctata";"";"MesS";"p";"herbs";"*";6
"258";3;"1yr-FAKT";"field edge";"E.decipiens";"";"UES";"p";"herbs, wood";"*";1
"259";3;"1yr-FAKT";"field edge";"E.mollicula";"oligotop";"MesO";"p";"Lamiaceae, Verbascum";"*";5
"260";3;"1yr-FAKT";"field edge";"E.ocellaris";"eurytop";"MesO";"o1";"Poaceae";"*";1
